date,tokens,likes,retweets,mencoes,hashtags,emojis
2020-10-21,"['justifica', 'bilionário', 'aport', 'financeiro', 'medicamento', 'sequer', 'ultrapass', 'fase', 'testagem', 'diant', 'exposto', 'decisão', 'adquirir', 'referida', 'vacina']",16890,2519,[],[],[]
2020-10-21,"['vacina', 'chinesa', 'joão', 'doria', 'governo', 'qualquer', 'vacina', 'ant', 'disponibilizada', 'população', 'deverá', 'comprovada', 'cientificament', 'ministério', 'saúd', 'certificada', 'anvisa', 'povo', 'brasileiro', 'cobaia', 'ninguém', 'continua']",23349,4174,[],[],[]
2020-10-21,"['secomvc', 'itamaratygovbr', 'mineconomia', 'ernestofaraujo']",2874,154,"['secomvc', 'ItamaratyGovBr', 'MinEconomia', 'ernestofaraujo']",[],['🤝']
2020-10-21,"['recebi', 'visita', 'conselheiro', 'segurança', 'eua', 'robert', 'obrien', 'representant', 'casa', 'branca', 'ond', 'assinamo', 'trê', 'acordo', 'vão', 'intensificar', 'ainda', 'relaçõ', 'comerciai', 'econômica', 'youtub']",19593,3391,[],[],[]
2020-10-20,"['curso', 'técnico', 'portaria', '524mec', '30set2020', 'autoriza', 'oferta', '515', 'curso', 'técnico', '600', 'mil', 'vaga', 'inclus', 'distância', 'instituiçõ', 'pública', 'privada', 'president', 'jair', 'bolsonaro', 'mribeiromec']",16221,3227,"['MEC_Comunicacao', 'mribeiroMEC']",[],[]
2020-10-20,"['peço', 'assistir', 'compartilhar']",16217,5834,[],[],[]
2020-10-20,"['onu', 'denunciei', 'existência', 'grand', 'perseguição', 'cristão', 'redor', 'mundo', 'cristofobia', 'hoje', 'igreja', 'incendiada', 'capit', 'chile', 'grupo', 'esquerda']",69422,16672,[],[],[]
2020-10-19,"['projeto', 'lei', 'marco', 'legal', 'startup', 'economiasepec', 'mineconomia', 'link', 'youtub']",15001,3096,"['EconomiaSepec', 'MinEconomia']",[],[]
2020-10-19,['planalto'],1917,113,['planalto'],[],"['👉🏻', '🤝']"
2020-10-19,"['denatran', 'minfraestrutura']",915,39,"['Denatran', 'MInfraestrutura']",[],['🤝']
2020-10-19,"['minfraestrutura', 'govbr', 'dnitofici']",1346,99,"['MInfraestrutura', 'govbr', 'DNIToficial']",[],['🇧🇷']
2020-10-19,"['vacina', 'obrigatória', 'inscrevas', 'canal', 'youtub']",33814,6761,[],[],[]
2020-10-18,"['2014', 'começ', 'desenhar', 'presidência', 'república', '2020', 'local', 'pont', 'rio', 'alambari', 'constatação', 'bem', 'maior', 'liberdad', 'soment', 'força', 'armada', 'podem', 'garantila', 'aman', 'resenderj', 'conversando', 'cadet']",20433,4041,[],[],[]
2020-10-18,"['hoje', 'dia', 'laura', 'parabén', '10', 'ano']",89728,6110,[],[],[]
2020-10-17,"['parada', 'programada', 'caçapava', 'velhasp', 'boa', 'noit', 'youtub']",23260,4104,[],[],[]
